cell_id,latitude,longitude,region,state
CELL_00000,7.0,93.75,Islands,Andaman & Nicobar Island
CELL_00001,8.25,77.25,Southern Peninsular,Tamil Nadu
CELL_00002,8.25,77.5,Southern Peninsular,Tamil Nadu
CELL_00003,8.25,77.75,Southern Peninsular,Tamil Nadu
CELL_00004,8.5,77.0,Western Ghats,Kerala
CELL_00005,8.5,77.25,Southern Peninsular,Tamil Nadu
CELL_00006,8.5,77.5,Southern Peninsular,Tamil Nadu
CELL_00007,8.5,77.75,Southern Peninsular,Tamil Nadu
CELL_00008,8.5,78.0,Southern Peninsular,Tamil Nadu
CELL_00009,8.75,76.75,Western Ghats,Kerala
CELL_00010,8.75,77.0,Western Ghats,Kerala
CELL_00011,8.75,77.25,Southern Peninsular,Tamil Nadu
CELL_00012,8.75,77.5,Southern Peninsular,Tamil Nadu
CELL_00013,8.75,77.75,Southern Peninsular,Tamil Nadu
CELL_00014,8.75,78.0,Southern Peninsular,Tamil Nadu
CELL_00015,9.0,76.75,Western Ghats,Kerala
CELL_00016,9.0,77.0,Western Ghats,Kerala
CELL_00017,9.0,77.25,Southern Peninsular,Tamil Nadu
CELL_00018,9.0,77.5,Southern Peninsular,Tamil Nadu
CELL_00019,9.0,77.75,Southern Peninsular,Tamil Nadu
CELL_00020,9.0,78.0,Southern Peninsular,Tamil Nadu
CELL_00021,9.0,78.25,Southern Peninsular,Tamil Nadu
CELL_00022,9.25,76.5,Western Ghats,Kerala
CELL_00023,9.25,76.75,Western Ghats,Kerala
CELL_00024,9.25,77.0,Western Ghats,Kerala
CELL_00025,9.25,77.25,Western Ghats,Kerala
CELL_00026,9.25,77.5,Southern Peninsular,Tamil Nadu
CELL_00027,9.25,77.75,Southern Peninsular,Tamil Nadu
CELL_00028,9.25,78.0,Southern Peninsular,Tamil Nadu
CELL_00029,9.25,78.25,Southern Peninsular,Tamil Nadu
CELL_00030,9.25,78.5,Southern Peninsular,Tamil Nadu
CELL_00031,9.25,78.75,Southern Peninsular,Tamil Nadu
CELL_00032,9.5,76.5,Western Ghats,Kerala
CELL_00033,9.5,76.75,Western Ghats,Kerala
CELL_00034,9.5,77.0,Western Ghats,Kerala
CELL_00035,9.5,77.25,Western Ghats,Kerala
CELL_00036,9.5,77.5,Southern Peninsular,Tamil Nadu
CELL_00037,9.5,77.75,Southern Peninsular,Tamil Nadu
CELL_00038,9.5,78.0,Southern Peninsular,Tamil Nadu
CELL_00039,9.5,78.25,Southern Peninsular,Tamil Nadu
CELL_00040,9.5,78.5,Southern Peninsular,Tamil Nadu
CELL_00041,9.5,78.75,Southern Peninsular,Tamil Nadu
CELL_00042,9.75,76.5,Western Ghats,Kerala
CELL_00043,9.75,76.75,Western Ghats,Kerala
CELL_00044,9.75,77.0,Western Ghats,Kerala
CELL_00045,9.75,77.25,Southern Peninsular,Tamil Nadu
CELL_00046,9.75,77.5,Southern Peninsular,Tamil Nadu
CELL_00047,9.75,77.75,Southern Peninsular,Tamil Nadu
CELL_00048,9.75,78.0,Southern Peninsular,Tamil Nadu
CELL_00049,9.75,78.25,Southern Peninsular,Tamil Nadu
CELL_00050,9.75,78.5,Southern Peninsular,Tamil Nadu
CELL_00051,9.75,78.75,Southern Peninsular,Tamil Nadu
CELL_00052,9.75,79.0,Southern Peninsular,Tamil Nadu
CELL_00053,10.0,76.25,Western Ghats,Kerala
CELL_00054,10.0,76.5,Western Ghats,Kerala
CELL_00055,10.0,76.75,Western Ghats,Kerala
CELL_00056,10.0,77.0,Western Ghats,Kerala
CELL_00057,10.0,77.25,Western Ghats,Kerala
CELL_00058,10.0,77.5,Southern Peninsular,Tamil Nadu
CELL_00059,10.0,77.75,Southern Peninsular,Tamil Nadu
CELL_00060,10.0,78.0,Southern Peninsular,Tamil Nadu
CELL_00061,10.0,78.25,Southern Peninsular,Tamil Nadu
CELL_00062,10.0,78.5,Southern Peninsular,Tamil Nadu
CELL_00063,10.0,78.75,Southern Peninsular,Tamil Nadu
CELL_00064,10.0,79.0,Southern Peninsular,Tamil Nadu
CELL_00065,10.25,76.25,Western Ghats,Kerala
CELL_00066,10.25,76.5,Western Ghats,Kerala
CELL_00067,10.25,76.75,Western Ghats,Kerala
CELL_00068,10.25,77.0,Southern Peninsular,Tamil Nadu
CELL_00069,10.25,77.25,Western Ghats,Kerala
CELL_00070,10.25,77.5,Southern Peninsular,Tamil Nadu
CELL_00071,10.25,77.75,Southern Peninsular,Tamil Nadu
CELL_00072,10.25,78.0,Southern Peninsular,Tamil Nadu
CELL_00073,10.25,78.25,Southern Peninsular,Tamil Nadu
CELL_00074,10.25,78.5,Southern Peninsular,Tamil Nadu
CELL_00075,10.25,78.75,Southern Peninsular,Tamil Nadu
CELL_00076,10.25,79.0,Southern Peninsular,Tamil Nadu
CELL_00077,10.25,79.25,Southern Peninsular,Tamil Nadu
CELL_00078,10.5,76.25,Western Ghats,Kerala
CELL_00079,10.5,76.5,Western Ghats,Kerala
CELL_00080,10.5,76.75,Western Ghats,Kerala
CELL_00081,10.5,77.0,Southern Peninsular,Tamil Nadu
CELL_00082,10.5,77.25,Southern Peninsular,Tamil Nadu
CELL_00083,10.5,77.5,Southern Peninsular,Tamil Nadu
CELL_00084,10.5,77.75,Southern Peninsular,Tamil Nadu
CELL_00085,10.5,78.0,Southern Peninsular,Tamil Nadu
CELL_00086,10.5,78.25,Southern Peninsular,Tamil Nadu
CELL_00087,10.5,78.5,Southern Peninsular,Tamil Nadu
CELL_00088,10.5,78.75,Southern Peninsular,Tamil Nadu
CELL_00089,10.5,79.0,Southern Peninsular,Tamil Nadu
CELL_00090,10.5,79.25,Southern Peninsular,Tamil Nadu
CELL_00091,10.5,79.5,Southern Peninsular,Tamil Nadu
CELL_00092,10.5,79.75,Southern Peninsular,Tamil Nadu
CELL_00093,10.75,76.0,Western Ghats,Kerala
CELL_00094,10.75,76.25,Western Ghats,Kerala
CELL_00095,10.75,76.5,Western Ghats,Kerala
CELL_00096,10.75,76.75,Western Ghats,Kerala
CELL_00097,10.75,77.0,Southern Peninsular,Tamil Nadu
CELL_00098,10.75,77.25,Southern Peninsular,Tamil Nadu
CELL_00099,10.75,77.5,Southern Peninsular,Tamil Nadu
CELL_00100,10.75,77.75,Southern Peninsular,Tamil Nadu
CELL_00101,10.75,78.0,Southern Peninsular,Tamil Nadu
CELL_00102,10.75,78.25,Southern Peninsular,Tamil Nadu
CELL_00103,10.75,78.5,Southern Peninsular,Tamil Nadu
CELL_00104,10.75,78.75,Southern Peninsular,Tamil Nadu
CELL_00105,10.75,79.0,Southern Peninsular,Tamil Nadu
CELL_00106,10.75,79.25,Southern Peninsular,Tamil Nadu
CELL_00107,10.75,79.5,Southern Peninsular,Tamil Nadu
CELL_00108,10.75,79.75,Southern Peninsular,Tamil Nadu
CELL_00109,10.75,92.5,Islands,Andaman & Nicobar Island
CELL_00110,11.0,76.0,Western Ghats,Kerala
CELL_00111,11.0,76.25,Western Ghats,Kerala
CELL_00112,11.0,76.5,Western Ghats,Kerala
CELL_00113,11.0,76.75,Southern Peninsular,Tamil Nadu
CELL_00114,11.0,77.0,Southern Peninsular,Tamil Nadu
CELL_00115,11.0,77.25,Southern Peninsular,Tamil Nadu
CELL_00116,11.0,77.5,Southern Peninsular,Tamil Nadu
CELL_00117,11.0,77.75,Southern Peninsular,Tamil Nadu
CELL_00118,11.0,78.0,Southern Peninsular,Tamil Nadu
CELL_00119,11.0,78.25,Southern Peninsular,Tamil Nadu
CELL_00120,11.0,78.5,Southern Peninsular,Tamil Nadu
CELL_00121,11.0,78.75,Southern Peninsular,Tamil Nadu
CELL_00122,11.0,79.0,Southern Peninsular,Tamil Nadu
CELL_00123,11.0,79.25,Southern Peninsular,Tamil Nadu
CELL_00124,11.0,79.5,Southern Peninsular,Tamil Nadu
CELL_00125,11.0,79.75,Southern Peninsular,Puducherry
CELL_00126,11.25,76.0,Western Ghats,Kerala
CELL_00127,11.25,76.25,Western Ghats,Kerala
CELL_00128,11.25,76.5,Southern Peninsular,Tamil Nadu
CELL_00129,11.25,76.75,Southern Peninsular,Tamil Nadu
CELL_00130,11.25,77.0,Southern Peninsular,Tamil Nadu
CELL_00131,11.25,77.25,Southern Peninsular,Tamil Nadu
CELL_00132,11.25,77.5,Southern Peninsular,Tamil Nadu
CELL_00133,11.25,77.75,Southern Peninsular,Tamil Nadu
CELL_00134,11.25,78.0,Southern Peninsular,Tamil Nadu
CELL_00135,11.25,78.25,Southern Peninsular,Tamil Nadu
CELL_00136,11.25,78.5,Southern Peninsular,Tamil Nadu
CELL_00137,11.25,78.75,Southern Peninsular,Tamil Nadu
CELL_00138,11.25,79.0,Southern Peninsular,Tamil Nadu
CELL_00139,11.25,79.25,Southern Peninsular,Tamil Nadu
CELL_00140,11.25,79.5,Southern Peninsular,Tamil Nadu
CELL_00141,11.25,79.75,Southern Peninsular,Tamil Nadu
CELL_00142,11.5,75.75,Western Ghats,Kerala
CELL_00143,11.5,76.0,Western Ghats,Kerala
CELL_00144,11.5,76.25,Western Ghats,Kerala
CELL_00145,11.5,76.5,Southern Peninsular,Tamil Nadu
CELL_00146,11.5,76.75,Southern Peninsular,Tamil Nadu
CELL_00147,11.5,77.0,Southern Peninsular,Tamil Nadu
CELL_00148,11.5,77.25,Southern Peninsular,Tamil Nadu
CELL_00149,11.5,77.5,Southern Peninsular,Tamil Nadu
CELL_00150,11.5,77.75,Southern Peninsular,Tamil Nadu
CELL_00151,11.5,78.0,Southern Peninsular,Tamil Nadu
CELL_00152,11.5,78.25,Southern Peninsular,Tamil Nadu
CELL_00153,11.5,78.5,Southern Peninsular,Tamil Nadu
CELL_00154,11.5,78.75,Southern Peninsular,Tamil Nadu
CELL_00155,11.5,79.0,Southern Peninsular,Tamil Nadu
CELL_00156,11.5,79.25,Southern Peninsular,Tamil Nadu
CELL_00157,11.5,79.5,Southern Peninsular,Tamil Nadu
CELL_00158,11.5,79.75,Southern Peninsular,Tamil Nadu
CELL_00159,11.75,75.5,Western Ghats,Kerala
CELL_00160,11.75,75.75,Western Ghats,Kerala
CELL_00161,11.75,76.0,Western Ghats,Kerala
CELL_00162,11.75,76.25,Western Ghats,Kerala
CELL_00163,11.75,76.5,Southern Peninsular,Karnataka
CELL_00164,11.75,76.75,Southern Peninsular,Karnataka
CELL_00165,11.75,77.0,Southern Peninsular,Tamil Nadu
CELL_00166,11.75,77.25,Southern Peninsular,Tamil Nadu
CELL_00167,11.75,77.5,Southern Peninsular,Tamil Nadu
CELL_00168,11.75,77.75,Southern Peninsular,Tamil Nadu
CELL_00169,11.75,78.0,Southern Peninsular,Tamil Nadu
CELL_00170,11.75,78.25,Southern Peninsular,Tamil Nadu
CELL_00171,11.75,78.5,Southern Peninsular,Tamil Nadu
CELL_00172,11.75,78.75,Southern Peninsular,Tamil Nadu
CELL_00173,11.75,79.0,Southern Peninsular,Tamil Nadu
CELL_00174,11.75,79.25,Southern Peninsular,Tamil Nadu
CELL_00175,11.75,79.5,Southern Peninsular,Tamil Nadu
CELL_00176,11.75,79.75,Southern Peninsular,Tamil Nadu
CELL_00177,11.75,92.75,Islands,Andaman & Nicobar Island
CELL_00178,12.0,75.5,Western Ghats,Kerala
CELL_00179,12.0,75.75,Western Ghats,Kerala
CELL_00180,12.0,76.0,Southern Peninsular,Karnataka
CELL_00181,12.0,76.25,Southern Peninsular,Karnataka
CELL_00182,12.0,76.5,Southern Peninsular,Karnataka
CELL_00183,12.0,76.75,Southern Peninsular,Karnataka
CELL_00184,12.0,77.0,Southern Peninsular,Karnataka
CELL_00185,12.0,77.25,Southern Peninsular,Karnataka
CELL_00186,12.0,77.5,Southern Peninsular,Karnataka
CELL_00187,12.0,77.75,Southern Peninsular,Tamil Nadu
CELL_00188,12.0,78.0,Southern Peninsular,Tamil Nadu
CELL_00189,12.0,78.25,Southern Peninsular,Tamil Nadu
CELL_00190,12.0,78.5,Southern Peninsular,Tamil Nadu
CELL_00191,12.0,78.75,Southern Peninsular,Tamil Nadu
